state,keyword,candidate_title,candidate_url,extracted_title,identifier,status,is_real_legal_source,matches_keyword,match_reason,match_terms,review_candidate,review_terms,error
AR,community land trust,HB1988,https://arkleg.state.ar.us/Bills/Detail?id=HB1988&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1987,https://arkleg.state.ar.us/Bills/Detail?id=HB1987&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,HB1986,https://arkleg.state.ar.us/Bills/Detail?id=HB1986&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB647,https://arkleg.state.ar.us/Bills/Detail?id=SB647&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB646,https://arkleg.state.ar.us/Bills/Detail?id=SB646&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB645,https://arkleg.state.ar.us/Bills/Detail?id=SB645&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB644,https://arkleg.state.ar.us/Bills/Detail?id=SB644&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB643,https://arkleg.state.ar.us/Bills/Detail?id=SB643&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB642,https://arkleg.state.ar.us/Bills/Detail?id=SB642&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB641,https://arkleg.state.ar.us/Bills/Detail?id=SB641&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB640,https://arkleg.state.ar.us/Bills/Detail?id=SB640&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB639,https://arkleg.state.ar.us/Bills/Detail?id=SB639&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB638,https://arkleg.state.ar.us/Bills/Detail?id=SB638&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB637,https://arkleg.state.ar.us/Bills/Detail?id=SB637&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB636,https://arkleg.state.ar.us/Bills/Detail?id=SB636&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB635,https://arkleg.state.ar.us/Bills/Detail?id=SB635&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB634,https://arkleg.state.ar.us/Bills/Detail?id=SB634&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB633,https://arkleg.state.ar.us/Bills/Detail?id=SB633&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB632,https://arkleg.state.ar.us/Bills/Detail?id=SB632&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB631,https://arkleg.state.ar.us/Bills/Detail?id=SB631&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB630,https://arkleg.state.ar.us/Bills/Detail?id=SB630&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB629,https://arkleg.state.ar.us/Bills/Detail?id=SB629&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,SB628,https://arkleg.state.ar.us/Bills/Detail?id=SB628&ddBienniumSession=2025%2F2025R,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Arkansas Law portal,https://arkleg.state.ar.us/ArkansasLaw,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Act 365 of 2023,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FACTS%2F2023R%2FPublic%2FACT365.pdf,,,,False,False,,,False,,name 'title' is not defined
AR,community land trust,Act creating Arkansas Housing Trust Fund,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FACTS%2F2009%2FPublic%2F661.pdf,,,,False,False,,,False,,name 'title' is not defined
